Image,xmin,ymin,xmax,ymax,Category,Label_SA,Label_CA,Valence,Arousal,Dominance
HECO_0001.png,575.3415162,106.4415584,804.5400722,537.3820346,Peace,Extremely-Sa,Mildly-Ca,5,7,8
HECO_0002.png,213.3333333,149.6103896,489.2813853,616.1731602,Disgust,ExtremelyN-Sa,Mildly-Ca,2,3,4
HECO_0002.png,527.5151978,336.5945435,938.5730591,1011.344788,Peace,Neutral,Highly-Ca,3,6,7
HECO_0003.png,630.025974,192.8311688,1010.285714,728.1038961,Happiness,ExtremelyN-Sa,Neutral,7,2,5
HECO_0004.png,261.5411255,247.1341991,764.6753247,1022.891775,Peace,ExtremelyN-Sa,Mildly-Ca,1,2,3
HECO_0005.png,6.041877256,123.4426407,508.8,672.6515152,Happiness,ExtremelyN-Sa,Neutral,4,3,5
HECO_0005.png,667.633213,73.91774892,990.8563177,481.9437229,Happiness,SlightlyN-Sa,Neutral,6,4,6
HECO_0006.png,94.33766234,125.5064935,284.6753247,725.6103896,Peace,Neutral,Highly-Ca,3,5,8
HECO_0006.png,402.7012987,108.0519481,586.3896104,480.4155844,Anger,ExtremelyN-Sa,Slightly-Ca,3,6,4
HECO_0006.png,692.3636364,117.1948052,904.7272727,584.3116883,Happiness,Slightly-Sa,Slightly-Ca,6,5,7
HECO_0007.png,716.8831169,320.8311688,951.2727273,722.2857143,Peace,ExtremelyN-Sa,Neutral,4,4,6
HECO_0007.png,330.3896104,173.7142857,558.1298701,541.0909091,Peace,ExtremelyN-Sa,Mildly-Ca,3,6,5
HECO_0008.png,242.2857143,83.94805195,405.1948052,441.3506494,Sadness,ExtremelyN-Sa,Slightly-Ca,3,5,5
HECO_0008.png,442.5974026,72.31168831,685.2987013,462.961039,Disgust,ExtremelyN-Sa,Slightly-Ca,3,7,3
HECO_0008.png,704.4155844,221.9220779,1007.792208,595.1168831,Peace,ExtremelyN-Sa,Slightly-Ca,3,3,5
HECO_0009.png,239.5470277,47.65367965,583.9769951,855.5497835,Anger,Neutral,Slightly-Ca,5,7,6
HECO_0010.png,30.3459683,108.2203796,207.4817367,529.4166986,Peace,SlightlyN-Sa,Mildly-Ca,3,5,6
HECO_0010.png,692.3115093,106.1038152,836.2784287,459.5700729,Sadness,SlightlyN-Sa,Neutral,4,6,5
HECO_0011.png,121.7662338,161.2467532,482.4935065,764.6753247,Peace,ExtremelyN-Sa,Neutral,4,3,5
HECO_0011.png,612.5714286,113.8701299,984.5194805,750.5454545,Peace,ExtremelyN-Sa,Neutral,4,3,4
HECO_0012.png,326.1193386,90.51948052,615.5916607,618.1818182,Excitement,Slightly-Sa,Mildly-Ca,8,5,7
HECO_0012.png,750.3091301,181.038961,1019.744069,510.7359307,Happiness,Neutral,Neutral,7,4,6
HECO_0013.png,504.9636217,113.4253247,1016.485044,760.0324675,Happiness,ExtremelyN-Sa,Neutral,6,6,4
HECO_0013.png,158.0468876,252.5162338,492.4818108,758.3766234,Disgust,Neutral,Slightly-Ca,4,5,7
HECO_0014.png,11.66406926,7.090909091,560.4571429,811.9090909,Happiness,Extremely-Sa,Mildly-Ca,6,6,8
HECO_0015.png,63.79175705,141.3896104,430.2993492,660.3116883,Disgust,ExtremelyN-Sa,Neutral,4,3,6
HECO_0015.png,439.1843818,163.5974026,699.8120029,598.1298701,Disgust,ExtremelyN-Sa,Neutral,5,3,6
